Study_ID,PFAS_focus,PFAS_focus_comments,PFAS_one_many,Year_sampling_start,Year_sampling_end,Year_sampling_comments,Species_one_many,Species_comment,Habitat,Habitat_comments,Sex,Sex_Comments,Developmental_stage,Developmental_stage_comments,Functional_aspects,Functional_aspects_comments,Biogeographical_region,Biogeographical_region_comments,Tissue_one_many,Tissue_one_many_comments,Study_comment,Checked,
P_0097,Yes,,Multiple,1986,2009,,One,,Terrestrial Inland,,Unknown,,Eggs/early development,,Yes,PFAS RELATIONSHIPS TO ENVIRONMENTAL CONDITIONS AND INDIVIDUAL TRAITS,Temperate,,One,,,CV,
P_0098,Yes,,Multiple,1975,2004,,Multiple,,Terrestrial coastal,,Mixed,,juvenile/adult,,No,,Polar,,One,,,CV,
P_0100,No,,Multiple,2018,2018,,One,,Terrestrial coastal,,mixed,,juvenile/adult,,Yes,Interactions between Environmental Contaminants and Gastrointestinal Parasites,Temperate,,One,,,CV,
P_0112,No,,Multiple,2016,2016,,One,,Terrestrial coastal,,Male,,juvenile/adult,,Yes,Interactions between plasma oxidative damage and plasma antioxidant defences,Polar,,One,,,CV,
P_0115,Yes,,Multiple,2008,2009,,One,,Terrestrial Inland,,Unknown,,Mixed,,Yes,Association between concentrations of PFOS in eggs and hatching success,Temperate,,Multiple,,,CV,
P_0116,Yes,,Multiple,2010,2011,,One,,Terrestrial Inland,,Unknown,,Eggs/early development,,No,,Temperate,,One,,,CV,
P_0117,No,,Multiple,1993,1993,,One,,Terrestrial Inland,,Unknown,,Eggs/early development,,No,,Temperate,,One,,,CV,
P_0003,No,,Multiple,1993,1993,,One,,Terrestrial Inland,,Unknown,,Eggs/early development,,No,,Temperate,,One,,,CV,
P_0059,Yes,,Multiple,2012,2015,,Multiple,,Estuarine,,Unknown,,juvenile/adult,,no,,Tropical,,One,,,CV,
P_0123,No,,Multiple,2014,2017,,One,,Terrestrial coastal,,Unknown,,Eggs/early development,,yes,Association between PFAS concentration in eggs and wintering latitude,Temperate,,One,,,CV,
P_0124,Yes,,Multiple,1997,2014,,Multiple,,terrestrial coastal,,Unknown,,Eggs/early development,,Yes,"Comparison of PFAS contaminationin the freshwater and terrestrial
environments",Temperate,,one,,,CV,
P_0125,Yes,,Multiple,2014,2014,,Multiple,,terrestrial coastal,,Male,,juvenile/adult,,Yes,testing for potential differences between oceanic basins and for longitudinal gradients in PFAS levels.,Subtropical,,one,,,CV,
P_0133,No,,Multiple,1988,2008,,One,,terrestrial coastal,,unknown,,Eggs/early development,,no,,Temperate,,one,,,CV,
P_0147,Yes,,multiple,2007,2007,,One,,terrestrial coastal,,unknown,,Eggs/early development,,no,,Temperate,,one,,,CV,
P_0148,Yes,,multiple,2010,2010,,One,,terrestrial coastal,,unknown,,Mixed,,Yes,tissue and body compartment accumulation and maternal PFAS transfer to eggs,Temperate,,Multiple,,,CV,
P_0149,Yes,,multiple,2008,2008,,Multiple,,terrestrial coastal,,unknown,,Eggs/early development,,no,,Temperate,,one,,,CV,
P_0055,Yes,,multiple,2009,2014,,Multiple,,terrestrial coastal,,unknown,,Eggs/early development,,Yes,Spatio temporal trends,Temperate,,one,,,CV,
P_0029,Yes,,multiple,2015,2016,,one,,Terrestrial Inland,,mixed,,juvenile/adult,,Yes,Comparison of PFAS measurements in feathers and in plasma,Temperate,,Multiple,,,CV,
P_0158,Yes,,multiple,2015,2015,,one,,Terrestrial Inland,,unknown,,Eggs/early development,,yes,"Correlation of PFAS burdens with start of egg laying, clutch size, hatching success, fledging success, total breeding success, egg shell thickness, and body condition of the nestlings.
fledging success and total breeding success) along with egg shell thickness and body condition of the nestlings.",Temperate,,one,,,CV,
P_0159,Yes,,multiple,2011,2011,,one,,Terrestrial Inland,,unknown,,Eggs/early development,,no,,Temperate,,one,,,CV,
P_0164,Yes,,multiple,2003,2008,,multiple,,Terrestrial Inland,,unknown,,juvenile/adult,,no,,Temperate,,one,,,CV,
P_0022,No,,multiple,2017,2018,,one,,Terrestrial coastal,,mixed,,juvenile/adult,,yes,PFAS and immunomodulatory effects,Temperate,,one,,,CV,
P_0356,No,,multiple,2003,2004,,multiple,,terrestrial coastal,,unknown,,mixed,,yes,PFAS exposure along A suburban to remote pollutant gradient,Temperate,,multiple,,,CV,
P_0171,No,,Multiple,2006,2006,,one,,terrestrial coastal,,unknown,,Eggs/early development,,yes,"Effect of Migration Strategy on Pollutant Occurrence in
Eggs",mixed,,one,,,CV,
P_0016,No,,Multiple,2004,2004,,multiple,,Terrestrial Inland,,mixed,,juvenile/adult,,no,Evaluation of biochemical effects related to perfluorooctane sulfonic acid exposure,Temperate,,one,,,CV,
P_0175,Yes,,Multiple,1989,2005,,multiple,,Mixed,,unknown,,mixed,,yes,relationship between mother-to-egg transfer capacity and PFAS chain length,Temperate,,multiple,,,CV,
P_0006,yes,,Multiple,1968,2003,,one,,terrestrial coastal,,unknown,,Eggs/early development,,yes,temporal trends,Temperate,,one,,,CV,
P_0184,No,,Multiple,2012,2012,,multiple,,terrestrial coastal,,unknown,,Eggs/early development,,yes,PFAS concentration and effects on seabird population development,temperate,,one,,,CV,
P_0189,Yes,,Multiple,2008,2017,,one,,Terrestrial Inland,,unknown,,juvenile/adult,,yes,Spatiotemporal analysis,temperate,,one,,,CV,
P_0193,Yes,,Multiple,1993,1999,,multiple,,mixed,,mixed,,juvenile/adult,,yes,correlation between PFOS and FOSA,temperate,,one,,,CV,
P_0195,Yes,,One,1990,1998,,multiple,,mixed,,unknown,,mixed,,no,,mixed,,multiple,,,CV,
P_0200,No,,Multiple,2017,2017,,one,,terrestrial coastal,,unknown,,mixed,,yes,maternal transfer and effects of differences in urbanization on contaminant concentration,temperate,,multiple,,,CV,
P_0209,No,,Multiple,2015,2016,,one,,Terrestrial Inland,,mixed,,juvenile/adult,,yes,spatiotemporal variations of PFAS and the role of diet and age on PFAS concentration,Mixed,,one,,,CV,
P_0210,no,,Multiple,2015,2016,,one,,Terrestrial Inland,,unknown,,juvenile/adult,,yes,concentration differences between plasma and feathers,temperate,,multiple,,,CV,
P_0211,no,,Multiple,2015,2016,,one,,Terrestrial Inland,,mixed,,juvenile/adult,,yes,Correlation between pfas exposure and physiological parameters,temperate,,one,,,CV,
P_0212,Yes,,Multiple,2002,2005,,one,,terrestrial coastal,,unknown,,Eggs/early development,,yes,spatial trends,temperate,,one,,,CV,
P_0042,Yes,,Multiple,2016,2016,,multiple,,Terrestrial Inland,,unknown,,Eggs/early development,,yes,investigation about generalizable PFAS distribution across bird species,temperate,,one,,,CV,
P_0218,Yes,,Multiple,2016,2016,,one,,Terrestrial Inland,,unknown,,Eggs/early development,,yes,variation patterns and possible laying sequence associations with PFAS concentrations in eggs,temperate,,one,,,CV,
P_0219,Yes,,Multiple,1980,2009,,one,,terrestrial coastal,,unknown,,mixed,,yes,"temporal trends, maternal transfer pf PFAS",temperate,,multiple,,,CV,
P_0224,yes,,Multiple,2012,2013,,one,,terrestrial coastal,,unknown,,Eggs/early development,,yes,temporal and spacial comparisons,temperate,,one,,,CV,
P_0048,yes,,Multiple,2015,2015,,one,,terrestrial coastal,,mixed,,juvenile/adult,,yes,"Exposure vs growth dilution, body condition, diet, and maternal transfer",temperate,,one,,,CV,
P_0231,yes,,one,2006,2006,,multiple,,mixed,,unknown,,mixed,,yes,relationship between pfos concentrations and distance from a fluoro-chemical plant,temperate,,multiple,,,CV,
P_0232,yes,,Multiple,2016,2016,,one,,Terrestrial Inland,,mixed,,juvenile/adult,,yes,"differences between sexes, maternal transfer of the compounds and potential associations with the oxidative status.",temperate,,one,,,CV,
P_0234,no,,Multiple,2011,2014,,one,,terrestrial coastal,,unknown,,juvenile/adult,,yes,relationship between PFAS contamination and trophic behaviour and feeding habitat,polar,,multiple,,,CV,
P_0235,no,,Multiple,2010,2010,,one,,terrestrial coastal,,unknown,,Eggs/early development,,yes,investigation of a possible longitudinal gradient of contamination,polar,,one,,,CV,
P_0239,no,,Multiple,2011,2013,,one,,terrestrial coastal,,mixed,,juvenile/adult,,yes,effects of OHCs on plasma thyroid hormones concentrations,polar,,one,,,CV,
P_0241,no,,Multiple,2006,2007,,one,,terrestrial coastal,,unknown,,Eggs/early development,,yes,relationship between contaminants in eggs and eggshell thinning and decreased concentrations of vitamin E,polar,,one,,,CV,
P_0242,no,,Multiple,2015,2015,,one,,terrestrial coastal,,mixed,,juvenile/adult,,yes,relationship between contaminants concentration and different overwinter areas,temperate,,one,,,CV,
P_0051,yes,,Multiple,2020,2020,,one,,Terrestrial Inland,,unknown,,Eggs/early development,,yes,Exposure assessment of PFAS-monitoring by using bird eggs,temperate,,one,,,CV,
P_0248,no,,Multiple,2006,2006,,multiple,,terrestrial coastal,,mixed,,juvenile/adult,,yes,correlation between Halogenated organic contaminants and thyroid hormones,polar,,one,,,CV,
,,,,,,,,,,,,,,,,,,,,,,CV,
P_0334,Yes,,Multiple,2000,2012,,One,,Terrestrial Inland,,Unknown,,Eggs/Early Development,,No,,Temperate,,One,,,,
P_0019,Yes,,Multiple,2006,2006,,Multiple,,Terrestrial Inland,,Unknown,,Eggs/Early Development,,Yes,Mean concentration of PFOS in birds inversely proportional to length of eggs,Temperate,,One,,,CV,
P_0107,Yes,,Multiple,Unknown,Unknown,,One,,terrestrial coastal,,Unknown,,Juvenile/Adult,,No,,Subtropical,,Multiple,,,CV,
P_0157,Yes,,Multiple,2016,2016,,Multiple,,Terrestrial Inland,,Unknown,,Mixed,,Yes,Correlation between PFAA concentration in isopod and eggs of great tit investigated,Temperate,,Multiple,,,CV,
P_0260,Yes,,Multiple,2011,2012,,One,,Marine,,Unknown,,Juvenile/Adult,,Yes,"Correlation between neurochemical markers and PFAS, correlation between brain region and PFAS compound concentration",Polar,,One,,,CV,
P_0269,Yes,,Multiple,1989,2006,,One,,Marine,,Mixed,,Mixed,,Yes,"Gender differences in PFAS content, and relationship of PFCs with length investigated",Mixed,,One,,,CV,
P_0270,No,,Multiple,1987,2007,,One,,Marine,,Male,,Juvenile/Adult,,Yes,Correlation between POPs and vitamins investigated,Temperate,,One,,,CV,
P_0050,Yes,,Multiple,1997,2014,,Multiple,,Mixed,,Mixed,,Juvenile/Adult,,Yes,Correlation between PFAS concentration and trophic level - trophic transfer,Polar,,Multiple,,,CV,
P_0062,Yes,,Multiple,2003,2005,,One,,Estuarine,,Unknown,,Juvenile/Adult,,Yes,Spatial distribution of PFAS,Subtropical,,One,,,CV,
P_0065,Yes,,Multiple,2007,2007,,One,,Marine,,Mixed,,Juvenile/Adult,,Yes,There is a compound specific persistence of PFCs in different tissues of harbour seals,Temperate,,Multiple,,,CV,
P_0073,Yes,,Multiple,2007,2017,,One,,Estuarine,,Mixed,,Juvenile/Adult,,Yes,Placental and lactational transfer of PFASs,Temperate,,One,,,CV,
P_0076,No,,Multiple,2003,2003,,One,,Marine,,Mixed,,Juvenile/Adult,,Yes,There were gender specific differences in PFAS concentration.,Polar,,One,,,CV,
P_0081,Yes,,Multiple,2011,2012,,Multiple,,Marine,,Mixed,,Mixed,,Yes,"Bioaccumulation, Dietary exposure relationship of PFAS",Polar,,Multiple,,,CV,
P_0082,Yes,,Multiple,1982,2003,,One,,Marine,,Mixed,,Juvenile/Adult,,Yes,Correlation of sex and PFAS burden,Polar,,One,,,CV,
P_0086,No,,Multiple,2012,2013,,One,,Marine,,Female,,Juvenile/Adult,,Yes,Relationship between PFAS and Thyroid hormones,Polar,,One,,,CV,
P_0120,No,,One,1983,2013,,One,,Marine,,Mixed,,Juvenile/Adult,,Yes,Risk quotients for PFOS calculated - including carcinogenic risk,Polar,,One,,,CV,
P_0122,Yes,,Multiple,Unknown,Unknown,,One,,Marine,,Mixed,,Mixed,,Yes,"Correlation between PFOS and age + length, Placental transfer",Tropical,,One,,,CV,
P_0126,Yes,,Multiple,2003,2005,,One,,Estuarine,,Mixed,,Juvenile/Adult,,Yes,"Bioaccumulation, investigate relationship between age + sex and PFAS",Subtropical,,One,,,CV,
P_0134,No,,Multiple,2010,2014,,Multiple,,Marine,,Mixed,,Juvenile/Adult,,No,,Temperate,,One,,,CV,
P_0251,Yes,,Multiple,2001,2002,,One,,terrestrial inland,,mixed,,juvenile/adult,,Yes,Correlation between hepatic PFAS levels and gene expression profiles,temperate,,one,,,CV,
P_0253,Yes,,Multiple,2007,2009,,Multiple,,terrestrial inland,,unknown,,Eggs/Early Development,,Yes,Transfer from the egg to the chick,temperate,,multiple,,,CV,
P_0262,Yes,,Multiple,1977,2014,,One,,terrestrial coastal,,unknown,,Eggs/Early Development,,Yes,Long-term trends,temperate,,One,,,CV,
P_0274,Yes,,Multiple,2017,2017,,Multiple,,terrestrial coastal,,unknown,,juvenile/adult,,,"Use of stable isotope signatures to investigate trophic habits, phospholipid levels, and PFAS concentrations",Temperate,,One,,,CV,
P_0276,Yes,,Multiple,2009,2013,,Multiple,,terrestrial coastal,,unknown,,juvenile/adult,,Yes,Spatial and Interspecies Heterogeneity of PFAS concentration,Mixed,,One,,,CV,
P_0281,Yes,,Multiple,2005,2005,,one,,terrestrial coastal,,unknown,,juvenile/adult,,Yes,distribution screening in multiple tissues,Temperate,,multiple,,,CV,
P_0031,Yes,,multiple,2009,2017,,one,,terrestrial coastal,,mixed,,juvenile/adult,,Yes,"association between PFAS and telomere length, apparent survival, and re-sighting",Polar,,one,,,CV,
P_0296,No,,multiple,2011,2012,,one,,terrestrial coastal,,mixed,,juvenile/adult,,Yes,"relationship between OHCs and immunoglobulin levels, telomeres and oxidative stress",Polar,,one,,,CV,
P_0298,no,,multiple,2008,2010,,multiple,,terrestrial inland,,unknown,,juvenile/adult,,Yes,Blood plasma clinical–chemical parameters as biomarker for POP's burdens,Polar,,one,,,CV,
P_0301,No,,multiple,2013,2014,,multiple,,terrestrial inland,,unknown,,Eggs/Early Development,,No,,temperate,,one,,,CV,
,,,,,,,,,,,,,,,,,,,,,,,
P_0287,No,,multiple,unknown,unknown,,one,,terrestrial inland,,unknown,,eggs/early development,,No,,temperate,,one,,,"Still to be checked, issues with missing data",
,,,,,,,,,,,,,,,,,,,,,,,
P_0135,No,,Multiple,2010,2013,,Multiple,,Marine,,Mixed,,juvenile/adult,,Yes,Tissue specific bioaccumulation of PFAS,Temperate,,Multiple,,,CV,
P_0139,Yes,,Multiple,1999,2002,,Multiple,,Marine,,Unknown,,juvenile/adult,,Yes,"Some species have higher capacity of transforming from PFOSA to PFOS, There may be a relationship between species size and metabolism of perfluorinated carboxylic acids, species specific differences in PFAS contamination",Temperate,,One,,,CV,
P_0140,Yes,,Multiple,1980,2005,,One,,Marine,,Mixed,,juvenile/adult,,Yes,"There was substantial differences in PFAS concentrations with respect to stages in life history, placental transfer of PFAS noted",Temperate,,One,,,CV,
P_0153,Yes,,Multiple,2008,2008,,One,,Marine,,Unknown,,Mixed,,Yes,Maternal transfer of PFAS,Polar,,Multiple,,,CV,
P_0154,Yes,,One,2006,2006,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"There are tissue specific patterns for isomers of PFOS, There may be differences in protein interactions + metabolism in the body for different isomers of PFOS",Polar,,Multiple,,,CV,
P_0155,Yes,,Multiple,2006,2006,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,PFAS cross the blood brain barrier in polar bears and there is brain region-specific distribution,Polar,,One,,,CV,
P_0156,Yes,,Multiple,2006,2006,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Pharmokinetics of PFAS in the body is tissue specific,Polar,,Multiple,,,CV,
P_0161,Yes,,Multiple,2004,2016,,One,,Estuarine,,Mixed,,Juvenile/adult,,Yes,"Bioaccumulation behaviour of PFAS investigated, Carbon chain length related tissue distribution of PFAS investigated",Tropical,,Multiple,,,CV,
P_0168,Yes,,Multiple,1982,2002,,One,,Marine,,Mixed,,Mixed,,Yes,Transplacental transfer of PFAS investigated,Subtropical,,One,,,CV,
P_0180,Yes,,Multiple,2003,2003,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"Relationship between PFAS and biological parameters including age, length and weight investigated",Mixed,,One,,,CV,
P_0183,Yes,,Multiple,1991,2008,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Sex and age associated distribution of PFASs was investigated,Temperate,,One,,,CV,
P_0186,Yes,,Multiple,2005,2005,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,"Accumulation profile of different PFAS was investigated, Maternal transfer of PFAS, Differences in pharmacokinetics of PFASs was also suggested",Temperate,,Multiple,,,CV,
P_0197,Yes,,Multiple,1992,2002,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Significant association between infectious diseases and elevated concentrations of PFOS/PFOA in liver of sea otters,Subtropical,,One,,,CV,
P_0009,No,,Multiple,1999,2003,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,"Bioaccumulation behaviour of PFAS investigated, which was found to be food web specific",Polar,,Multiple,,,CV,
P_0208,Yes,,Multiple,1997,2013,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,"Age and phylogenetic class influences PFAS concentrations, Relationship between PFAA exposure and PPAR and CYP4A expression shown",Tropical,,Multiple,,,CV,
P_0214,Yes,,Multiple,2002,2014,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,Potential of PFAS in liver to cause adverse effects was evaluated,Tropical,,One,,,CV,
P_0223,No,,Multiple,2013,2014,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Age-sex differences with POPs investigated,Polar,,Multiple,,,CV,
P_0053,Yes,,Multiple,2009,2018,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,Tissue specific concentration differences reflects PFAS toxicokinetics,Temperate,,Multiple,,,CV,
P_0012,Yes,,Multiple,2006,2006,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,Accumulation profiles in the liver showed differences in metabolic profiles between species,Subtropical,,One,,,CV,
,,,,,,,,,,,,,,,,,,,,,,,
P_0243,No,,Multiple,2013,2014,,One,,Marine,,Male,,Juvenile/adult,,Yes,Link between contaminant exposure and metabolite profiles investigated,Polar,,Multiple,,,CV,
P_0273,Yes,,Multiple,1982,2011,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Temporal trends and comparison to other regions,Polar,,One,,,CV,
P_0277,Yes,,Multiple,1984,2009,,Multiple,,Marine,,Mixed,,Juvenile/adult,,No,Temporal trends,Mixed,,Multiple,,,CV,
P_0045,Yes,,Multiple,1990,2010,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"The effect of age, sex and body conditions on PFAS concentration",Polar,,One,,,CV,
P_0278,No,,Multiple,2014,2015,,One,,Marine,,Male,,Juvenile/adult,,Yes,Relationships between PFAS exposure and endocrine and immune function,Polar,,One,,,CV,
P_0279,No,,Multiple,2009,2010,,One,,Marine,,Mixed,,Juvenile/adult,,No,,Polar,,One,,,CV,
P_0280,Yes,,Multiple,2006,2006,,One,,Marine,,Female,,Juvenile/adult,,No,,Polar,,One,,,CV,
P_0035,Yes,,Multiple,2017,2017,,One,,Marine,,Female,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0288,No,,Multiple,2014,2015,,One,,Marine,,Male,,Juvenile/adult,,Yes,"Relationships between organohalogen compounds, feeding habits and pathogen exposure were investigated",Polar,,One,,,CV,
P_0291,Yes,,Multiple,2000,2007,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"Investigated trends of PFAS in liver of seal including maternal transfer, bioacuumulation profile of long chain PFAS",Temperate,,One,,,CV,
P_0299,No,,One,1999,2010,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Assessed lesions in liver and analysed effects from contaminant concentrations (including PFCs),Polar,,Multiple,,,CV,
P_0300,Yes,,Multiple,2000,2017,,Multiple,,Marine,,Mixed,,Mixed,,No,,Mixed,,One,,,CV,
P_0306,No,,Multiple,2000,2014,,One,,Marine,,Female,,Juvenile/adult,,Yes,Correlation between space use and contaminant burden,Polar,,One,,,CV,
P_0015,Yes,,Multiple,2012,2013,,One,,Marine,,Female,,Juvenile/adult,,Yes,"Correlation of PFAS burdens and multiple factors (habitat quality, season, year, diet, metabolic state [i.e. feeding/fasting], breeding status and age)",Polar,,One,,,CV,
P_0311,No,,Multiple,2007,2010,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Investigated use of fur as biomarker for POPs,Temperate,,One,,,CV,
P_0317,Yes,,Multiple,1994,2000,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,Link between PFAS exposure level and stable isotope ratios,Temperate,,Multiple,,,CV,
P_0319,Yes,,Multiple,1997,1998,,One,,Marine,,Mixed,,Mixed,,Yes,Link between PFAS concentration and stable isotope measurements investigated to see intraspecies segregation,Temperate,,Multiple,,,CV,
P_0028,Yes,,Multiple,1996,2014,,One,,Marine,,Mixed,,Juvenile/adult,,No,Temporal trends,Polar,,One,,,CV,
P_0033,Yes,,Multiple,2012,2018,,Multiple,,Marine,,Mixed,,Juvenile/adult,,No,Temporal trends,Tropical,,One,,,CV,
,,,,,,,,,,,,,,,,,,,,,,,
P_0034,Yes,,Multiple,2009,2019,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Temporal trends and tissue specific bioaccumulation of PFAS,Subtropical,,Multiple,,,CV,
P_0052,Yes,,Multiple,2014,2016,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Exposure risks of PFOA and PFOS to human health evaluated,Mixed,,One,,Excluded,CV,
P_0316,Yes,,Multiple,2002,2002,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"Tissue specific differences in PFAS concentration and accumulation, relationship between PFDA and body length",Temperate,,Multiple,,,CV,
P_0061,Yes,,Multiple,2010,2012,,One,,Terrestrial Inland,,Mixed,,Juvenile/adult,,Yes,Effect of body condition on tissue distribution of PFAS,Polar,,Multiple,,,CV,
P_0070,Yes,,Multiple,2012,2015,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,"Positive correlation between PFAAS and snout-vent length in alligators suggesting PFAS body burden increases with size, Relationship between PFAS body burdens and parameters including sex, body size and location investigated",Subtropical,,One,,,CV,
P_0071,Yes,,Multiple,2011,2012,,One,,Estuarine,,Mixed,,Juvenile/adult,,Yes,"Sex specific site differences in PFAS concentration, Negative correlations between PFAS and body mass",Subtropical,,One,,,CV,
P_0087,No,,Multiple,2009,2009,,One,,Freshwater,,Unknown,,Eggs/early development,,No,,Subtropical,,One,,,CV,
P_0104,Yes,,Multiple,2017,2017,,Multiple,"Species not specified, so not sure",Terrestrial Coastal,,Mixed,,Mixed,,Yes,"PFAS concentration higher in eggs than legs and body, PFAS accumulated differs on ocean from which originated",Mixed,,Multiple,,,CV,
P_0105,Yes,,Multiple,2012,2013,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,"Correlations between length, spatial differences and sex with PFAS load + accumulation determined",Subtropical,,One,,,CV,
P_0109,No,,Multiple,2017,2018,,Multiple,,Terrestrial Inland,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0121,No,,Multiple,2009,2010,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,"Influence of land use, storm water discharge, and treated wastewater effluent on PFAS concentrations",Subtropical,,One,,,CV,
P_0047,Yes,,Multiple,2017,2017,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0025,Yes,,Multiple,2017,2017,,One,,Terrestrial Inland,,Mixed,,Juvenile/adult,,Yes,Relationship between PFAS and neuro-DA and steroid hormone homeostasis,Temperate,,One,,,CV,
P_0160,Yes,,Multiple,2002,2008,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Subtropical,,One,,,CV,
P_0185,No,,Multiple,2017,2017,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0191,Yes,,Multiple,1995,2000,,Multiple,,Mixed,,Mixed,,Juvenile/adult,,Yes,Relationship between PFOS and lipid content in mink liver,Mixed,,One,,,CV,
P_0196,Yes,,One,1996,1998,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Mixed,,One,,,CV,
,,,,,,,,,,,,,,,,,,,,,,,
P_0030,Yes,,Multiple,2017,2018,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,"Evidence that PFAS can propagate to riparian food web via aquatic insects, bioaccumulation",Temperate,,Multiple,,,CV,
,,,,,,,,,,,,,,,,,,,,,,,
P_0302,Yes,,Multiple,1968,2015,,One,,Terrestrial Inland,,Unknown,,Juvenile/adult,,Yes,Spatiotemporal Trends,Mixed,,One,,,CV,
P_0043,Yes,,Multiple,2016,2018,,One,,Terrestrial Inland,,Mixed,,Juvenile/adult,,Yes,Influence of PFAS on circulating thyroid hormones and immune-related microRNA expression,Temperate,,one,,,CV,
P_0305,Yes,,Multiple,2019,2019,,multiple,,terrestrial coastal,,Unknown,,Juvenile/adult,,Yes,Correlation between PFAS and body morphometrics,Subtropical,,one,,,CV,
P_0307,Yes,,Multiple,2012,2012,,one,,terrestrial coastal,,Mixed,,Juvenile/adult,,Yes,Relationship between PFAS and corticosterone and between PFAS and reproductive success,polar,,one,,,CV,
P_0322,Yes,,Multiple,2004,2004,,one,,terrestrial coastal,,Mixed,,Juvenile/adult,,No,,polar,,multiple,,,CV,
P_0323,Yes,,Multiple,2009,2009,,one,,terrestrial coastal,,Unknown,,Eggs/early development,,No,,Subtropical,,one,,,CV,
P_0324,Yes,,Multiple,1986,2014,,one,,Terrestrial coastal,,Unknown,,Eggs/early development,,Yes,Temporal trends,polar,,one,,,CV,
P_0328,Yes,,Multiple,2004,2006,,multiple,,Terrestrial Inland,,Unknown,,Eggs/early development,,no,,Subtropical,,one,,,CV,
P_0329,no,,Multiple,2010,2011,,one,,Terrestrial Inland,,Unknown,,Eggs/early development,,,Evaluating snow buntings as bio-indicator for POPs exposure,polar,,one,,,CV,
P_0041,no,,Multiple,2015,2015,,multiple,,Freshwater,,Unknown,,Juvenile/adult,,no,,Temperate,,one,,,CV,
P_0046,no,,one,1995,2014,,one,,Freshwater,,Unknown,,Juvenile/adult,,yes,Temporal trends,Temperate,,one,,,CV,
P_0023,yes,,Multiple,2015,2016,,multiple,,Freshwater,,Unknown,,Juvenile/adult,,no,,Temperate,,one,,,CV,
P_0027,yes,,Multiple,2008,2008,,multiple,,Mixed,,Unknown,,Juvenile/adult,,yes,PFAS concentrations and association with morphometric health indices,tropical,,multiple,,,CV,
P_0021,yes,,Multiple,2018,2018,,multiple,,marine,,Unknown,,Juvenile/adult,,no,,Temperate,,multiple,,,CV,
P_0032,yes,,Multiple,2018,2018,,multiple,,Freshwater,,Unknown,,Juvenile/adult,,yes,"Evaluation of trophic magnification factor, bioaccumulation, transport of PFAS",Temperate,,multiple,,,CV,
P_0011,yes,,Multiple,2005,2007,,multiple,,Freshwater,,Unknown,,Juvenile/adult,,no,,Temperate,,multiple,,,CV,
P_0039,yes,,Multiple,2011,2014,,one,,Freshwater,,Unknown,,Juvenile/adult,,no,,Temperate,,multiple,,,CV,
P_0024,yes,,Multiple,Unknown,Unknown,,multiple,,Estuarine,,Unknown,,Juvenile/adult,,yes,Bioaccumulation,tropical,,multiple,,,CV,
P_0037,yes,,Multiple,2015,2019,,multiple,,Freshwater,,Unknown,,Juvenile/adult,,yes,"Impact of depth of lake on PFAS concentration in fish, PFAS transport mechanisms",Temperate,,multiple,,,CV,
P_0017,yes,,Multiple,2006,2006,,one,,Freshwater,,unknown,,Juvenile/adult,,no,,Temperate,,one,,,CV,
P_0014,yes,,Multiple,2009,2014,,multiple,,mixed,,unknown,,Mixed,,yes,"Temporal trends, exposure pathways, and precursor compounds analysis",Subtropical,,multiple,,,CV,
P_0026,no,,Multiple,2006,2016,,multiple,,mixed,,unknown,,Juvenile/adult,,yes,Biomagnification factors,Temperate,,multiple,,,CV,
